Sale ID,Date,Product Name,Category,Quantity,Unit Price,Total Price,Sold At,Payment Method,Reference Number,Staff Name
AD56DF2F-9B06,2026-01-30T06:24:14.253Z,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,Physical Store,QRPH,,admin
9DE647D9-9EB4,2026-01-30T06:23:41.506Z,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,Physical Store,QRPH,,admin
CDDB1396-981C,2026-01-30T06:22:44.776Z,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,Physical Store,QRPH,,admin
D37553DD-1128,2026-01-30T06:21:51.046Z,Spiderman - Far From Home,Funko POP,5,₱569.00,₱2845.00,Physical Store,Cash,,admin
364B0F92-A3F2,2026-01-30T06:21:51.003Z,Spiderman - Far From Home,Funko POP,5,₱569.00,₱2845.00,Physical Store,Cash,,admin
F83A995B-A04C,2026-01-29T17:24:38.894Z,SpongeBob SquarePants 25th Anniversary - Krusty Krab Pizza SpongeBob,Funko POP,1,₱1440.00,₱1440.00,Physical Store,Cash,,admin
,,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,,,,
4BAA6395-854D,2026-01-29T17:20:32.235Z,Generic Toy,Toys,1,₱199.00,₱199.00,Physical Store,QRPH,,admin
,,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,,,,
131A0021-1934,2026-01-29T17:17:41.393Z,Generic Toy,Toys,2,₱199.00,₱398.00,Physical Store,Cash,,admin
,,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,,,,
B53E5909-0FBE,2026-01-29T17:14:39.487Z,Spiderman - Far From Home,Funko POP,1,₱569.00,₱569.00,Online,QRPH,,admin
,,Generic Toy,Toys,1,₱199.00,₱199.00,,,,
